paymentId;TID;NSU;Date;PaymentDate;AuthCode;CNPJ;ValorTransacao;ValorParcela;Bandeira;CNPJ;
XVlBzgbaiCMRAjWwhTHctcuAxhxKQFDaFp;77131f34-6f7c-4606-a6ee-99cec2be7b75;0782674154;14/01/2023;29/02/2023;0482001699462167;79234747398584;71448.42;04423.97;otaFetHsbZRjxA;wnwekrBEmfdzdc;
EkXBAkjQZLCtTMtTCoaNatyyiNKAReKJyi;115ccc75-421f-401c-9149-190caffd0b55;6421398295;13/01/2023;13/07/2023;4971615386201410;14158163019767;17032.87;10383.92;dOMeRVjaRzLNTX;YeUCWKsXbGyRAO;
mBTvKSJfjzaLbtZsyMGeuDtRzQMDQiYCOh;7584c735-4853-4405-bf18-5c6c26a55605;5854793132;18/02/2023;6/05/2023;0302262447089994;55657878590745;88502.74;97783.72;zkjkZIvaBjMkXV;bWGvbqzgexyALB;
sdjSGpngCwFkDifIBuufFMoWdiTskZoQJM;3429f2c2-de96-4bf6-a15a-07c15ba540d3;5249763657;10/09/2023;1/08/2023;0858456105602226;04633683480816;75545.34;51165.41;zHblmYYtEjVgwf;FbbGGcnqbaEREu;
nUZjQXmZOtaRLUtmYgmSVYBADDvoxIfsfg;b5c00e1a-e4a0-4dd3-842f-1869df2926a3;6951703747;3/02/2023;26/09/2023;4893064185398803;70575043501041;56242.98;53421.61;qMZcLVCxaSJlDS;YEofkkEYeqkKHq;
gBpnbPbgHMLUIDjUMmpBHCSjMJjxzuaiIs;6c13ae0b-e629-4711-8efe-1f67bc817f96;4691131701;15/05/2023;2/03/2023;2315439841492792;83885183669153;36584.24;26168.09;dJJFuyZHRCovgp;VvlGsXalGqARmn;
eBZBFelhXkzzfNaVtAyyqWzKqQFbucqNJY;73bbff1b-dee5-4afe-a347-710497b7310d;3229391222;25/09/2023;17/04/2023;5589456360893679;03263510451108;66946.42;13339.59;nCTuGZamCToZvP;ynaEphIdXaKUaq;
mBdtZtcOfFSPqKXSLEfZAPaJzldaUEdhIT;eebe9ce6-5900-4eec-9e1a-a41dfbe6a164;5484298577;16/06/2023;16/07/2023;0245084714188359;26834055093911;98640.61;32307.89;UAbUdQrIPjyQyQ;FStFubVVdHtAkn;
jEQxCqkDIfTGXeJtuncbfqQUsXTOdPORvA;aec31c91-d8dd-4806-99a2-462c4b461683;3971136043;22/04/2023;25/09/2023;3548065008713319;40653665287674;31644.85;01183.41;NPANWvkkOdejVc;ugMVTnMUqBcVFo;
hTtUTuWJRGiQjOTcVwHjKVtPoVVTYNXfTj;36a85135-c2bd-41d4-b534-20a19cf7215c;6323518821;22/07/2023;6/03/2023;4133730038433652;53724961931270;03523.77;53725.51;lfVcjYMcwVxDrn;sfUrCFsVySzWtb;
pwvkbeRKvUdUyRSgDknQXeAJnkxLkNKWWU;e300603f-f937-4a65-97fe-7595b8667dd6;7538406242;1/09/2023;12/02/2023;5739312183257038;30157521630840;31845.93;21073.10;PdQSnyNSLTvmwZ;LbKtziYpTpzlFP;
hUhSWZdgpyWsRCkctWdcUosnpMVHZdiyeo;123019ac-4348-4c2a-9e8e-aeca42dabaa0;3325250787;8/05/2023;20/05/2023;7734821472768196;90518047305685;52074.31;20151.25;xTocDoTiUUJeVa;kGzAALtLhTUZHJ;
OxKmRNwKDOUnXzmDikdJPukQLaxAHzFSns;d8388dbf-2a07-4260-a5eb-9b5eeae8b9f4;8611496638;15/04/2023;25/09/2023;1335061076159009;19160078637047;32477.62;19948.82;BLbuEhZFxQuvAp;LIPkPzXDPizdhp;
gJsjyBqaYFyqjyZdUShIIWpUYaqBhqHzoC;fec3151b-8c45-429c-8b10-ed48bed41f2c;5161344675;15/09/2023;12/09/2023;7703927126319315;24385555684323;12833.20;24880.13;iVEWlUwPHdPiHZ;uUiUFXrgXbHMbj;
eBvZwcJXyXLoetEAKetWXUDXJDUtrnryhm;110ad8ce-001b-4b80-aaba-27368263d091;9237737878;13/08/2023;6/04/2023;1417947817126691;97401531450862;05845.16;28819.37;maAvASRDtXBDGn;MCDMOfzVWicMsn;
OkZlIUNSsCraKQBrSfkMAIStKMupnCMvAD;4b8d0c3b-93c3-45de-997e-e36085780e2a;0509936750;19/04/2023;27/05/2023;2835587137695472;18633917560617;09365.64;45577.45;YZBjGdAeQxmvLH;qeeizRbUesPXmQ;
umDoPOnnQVNsqKkejfUlxsWAwWjtpZBrWZ;baaa2b91-e299-43ef-86d0-219bbf79962c;5683580925;11/03/2023;10/04/2023;8171957777109082;88064428238589;59250.14;47945.13;FONFwrxmPGDUaM;iraBzMlulhxkKv;
SvnXEUmQuNfIqPjHTcdmcQRyRegnCPCePN;03099968-264a-480c-b505-16f7cebe0175;2753950268;8/02/2023;23/02/2023;4155635632401406;89307071263627;14600.81;99200.30;lpVssIAYkbKrIm;XeoveCluuuNdNJ;
GMnLVgpITBPZGJZlDkAcDeOtKifMofRksn;712caa55-4b2b-4e28-b699-ed6566de51e1;5978349431;20/09/2023;8/04/2023;2598217963872995;75050196437906;86033.96;09409.81;VWGCniuyxyhXph;nvyQQHwnzDRITg;
uovpoGAtItTvRaEDtMbmKEEksgqibDiuAM;87a1c39c-f2d4-44f7-b6d7-000e41047432;8137569611;7/07/2023;29/01/2023;7908877917899830;23073457334733;06439.36;77599.30;AOQmFjxfAzsDjA;sjwttyMUOopasu;
hTESsDemerTKSzUdvZOjUrNyHXgwcGZyYC;18c98909-9af0-476b-b5f9-378f153d690c;0971823979;14/09/2023;29/09/2023;1895626253856285;23815593457521;33843.06;39052.84;lLwwZUBUQPrhVt;hbTtgjFepZBAdb;
GDyMThoDrRwkOKoYvEcEIkUZpqyyWpLpdg;90d721f4-673d-4396-b285-ecdf62999580;9625653189;26/03/2023;23/04/2023;7614176278040929;52161213413741;82073.86;45052.01;rdVEDlYNUzOTCy;rcQnuMZnigcFJH;
